id,NameID,ItemCategoryType
81,(黑暗異教徒-夢幻),81
82,(聖騎士-赤月),82
83,(十字軍-赤月),83
84,(聖徒-赤月),84
85,(審判者-赤月),85
86,(黑暗異教徒-赤月),86
87,(聖騎士-蒼翠),87
88,(十字軍-蒼翠),88
89,(聖徒-蒼翠),89
90,(審判者-蒼翠),90
91,(黑暗異教徒-蒼翠),91
92,(炮擊之星-夢幻),92
93,(機甲司令-夢幻),93
94,(鍊魔使-夢幻),94
95,(鍊癒使-夢幻),95
96,(縱雷機師-夢幻),96
97,(炮擊之星-赤月),97
98,(機甲司令-赤月),98
99,(鍊魔使-赤月),99
100,(鍊癒使-赤月),100
101,(縱雷機師-赤月),101
102,(炮擊之星-蒼翠),102
103,(機甲司令-蒼翠),103
104,(鍊魔使-蒼翠),104
105,(鍊癒使-蒼翠),105
106,(縱雷機師-蒼翠),106
107,(暗黑召喚師-夢幻),107
108,(喚靈使者-夢幻),108
109,(劍刃舞者-夢幻),109
110,(闇影支配者-夢幻),110
111,(天羽神姬-夢幻),111
112,(暗黑召喚師-赤月),112
113,(喚靈使者-赤月),113
114,(劍刃舞者-赤月),114
115,(闇影支配者-赤月),115
116,(天羽神姬-赤月),116
117,(暗黑召喚師-蒼翠),117
118,(喚靈使者-蒼翠),118
119,(劍刃舞者-蒼翠),119
120,(闇影支配者-蒼翠),120
121,(天羽神姬-蒼翠),121
122,(撕裂者-夢幻),122
123,(掠奪者-夢幻),123
124,(光輝使者-夢幻),124
125,(深淵行者-夢幻),125
126,(噬血闇靈-夢幻),126
127,(撕裂者-赤月),127
128,(掠奪者-赤月),128
129,(光輝使者-赤月),129
130,(深淵行者-赤月),130
131,(噬血闇靈-赤月),131
132,(撕裂者-蒼翠),132
133,(掠奪者-蒼翠),133
134,(光輝使者-蒼翠),134
135,(深淵行者-蒼翠),135
136,(噬血闇靈-蒼翠),136
137,(疾風魅影-夢幻),137
138,(幻魔槍騎-夢幻),138
139,(冰霜舞姬-夢幻),139
140,(緋紅戰姬-夢幻),140
141,(闇夜魅影-夢幻),141
142,(疾風魅影-赤月),142
143,(幻魔槍騎-赤月),143
144,(冰霜舞姬-赤月),144
145,(緋紅戰姬-赤月),145
146,(闇夜魅影-赤月),146
147,(疾風魅影-蒼翠),147
148,(幻魔槍騎-蒼翠),148
149,(冰霜舞姬-蒼翠),149
150,(緋紅戰姬-蒼翠),150
151,(闇夜魅影-蒼翠),151
152,(捍衛者-夢幻),152
153,(破壞者-夢幻),153
154,(疾光武姬-夢幻),154
155,(電光禦使-夢幻),155
156,(捍衛者-赤月),156
157,(破壞者-赤月),157
158,(疾光武姬-赤月),158
159,(電光禦使-赤月),159
160,(捍衛者-蒼翠),160
161,(破壞者-蒼翠),161
162,(疾光武姬-蒼翠),162
163,(電光禦使-蒼翠),163
164,(決鬥者-夢幻),164
165,(陷阱大師-夢幻),165
166,(決鬥者-赤月),166
167,(陷阱大師-赤月),167
168,(決鬥者-蒼翠),168
169,(陷阱大師-蒼翠),169
170,(馭龍劍騎-夢幻),170
171,(馭龍劍騎-赤月),171
172,(馭龍劍騎-蒼翠),172
173,(幻劍宗師-夢幻),173
174,(幻劍宗師-赤月),174
175,(幻劍宗師-蒼翠),175
176,(亡靈獵手-夢幻),176
177,(亡靈獵手-赤月),177
178,(亡靈獵手-蒼翠),178
179,(獨行俠-夢幻),179
180,(獨行俠-赤月),180
181,(獨行俠-蒼翠),181
